season,matchno,venue,innings,batsmen,bowlers,che,ban,del,hyd,kol,mum,pun,rr,runs
5,1,37.84615384615385,1,5,3,0,0,0,0,0,0,1,0,48
5,1,42.5,2,4,3,0,0,0,0,1,0,0,0,53
5,1,37.84615384615385,1,4,5,1,0,0,0,0,0,0,0,39
5,1,37.84615384615385,2,2,3,0,0,0,0,0,0,0,1,47
5,1,47.32142857142857,1,3,4,0,0,0,0,0,1,0,0,48
5,1,47.32142857142857,2,3,4,0,1,0,0,0,0,0,0,33
5,1,44.111111111111114,1,4,4,0,0,1,0,0,0,0,0,34
5,2,44.111111111111114,2,4,3,0,0,0,0,1,0,0,0,48
5,2,37.84615384615385,1,2,3,0,0,0,0,0,0,0,1,43
5,2,37.84615384615385,2,3,4,0,0,0,0,0,0,1,0,40
5,3,37.84615384615385,3,3,1,0,0,0,0,0,0,1,0,15
5,3,37.84615384615385,4,3,1,0,0,0,0,0,0,0,1,6
5,1,37.84615384615385,1,2,3,0,0,0,1,0,0,0,0,43
5,3,45.0,2,4,5,0,0,0,0,1,0,0,0,49
5,2,47.32142857142857,1,3,4,1,0,0,0,0,0,0,0,45
5,2,47.32142857142857,2,4,3,0,1,0,0,0,0,0,0,38
5,2,44.111111111111114,1,3,4,0,0,1,0,0,0,0,0,45
5,2,44.111111111111114,2,3,4,0,0,0,0,0,1,0,0,48
5,4,37.84615384615385,1,4,4,0,0,0,0,0,0,0,1,48
5,3,37.84615384615385,2,3,4,0,1,0,0,0,0,0,0,49
5,3,45.666666666666664,1,5,3,0,0,0,0,0,1,0,0,37
5,4,45.666666666666664,2,3,4,0,0,0,0,1,0,0,0,38
5,3,47.32142857142857,1,4,3,1,0,0,0,0,0,0,0,59
5,3,47.32142857142857,2,5,2,0,0,1,0,0,0,0,0,40
5,5,47.32142857142857,1,4,3,0,0,0,0,0,0,0,1,35
5,4,42.5,2,4,4,0,0,0,0,0,0,1,0,51
5,5,45.666666666666664,1,2,4,0,0,0,0,1,0,0,0,53
5,4,45.666666666666664,2,3,3,0,1,0,0,0,0,0,0,41
5,4,47.32142857142857,1,2,4,1,0,0,0,0,0,0,0,49
5,2,47.32142857142857,2,3,2,0,0,0,1,0,0,0,0,46
5,4,44.111111111111114,1,3,5,0,0,1,0,0,0,0,0,51
5,6,44.111111111111114,2,3,3,0,0,0,0,0,0,0,1,42
5,5,46.833333333333336,1,2,3,0,0,0,0,0,0,1,0,57
5,4,46.833333333333336,2,5,3,0,0,0,0,0,1,0,0,17
5,5,47.32142857142857,1,3,3,0,1,0,0,0,0,0,0,47
5,3,47.32142857142857,2,2,4,0,0,0,1,0,0,0,0,65
5,5,37.84615384615385,1,4,4,0,0,0,0,0,1,0,0,31
5,7,37.84615384615385,2,3,3,0,0,0,0,0,0,0,1,42
5,6,37.84615384615385,1,3,3,0,0,0,0,0,0,1,0,41
5,5,42.5,2,3,3,0,0,1,0,0,0,0,0,47
5,4,42.5,1,4,4,0,0,0,1,0,0,0,0,35
5,8,45.0,2,2,3,0,0,0,0,0,0,0,1,36
5,6,46.833333333333336,1,5,3,0,0,0,0,0,1,0,0,31
5,5,46.833333333333336,2,2,4,1,0,0,0,0,0,0,0,90
5,6,46.833333333333336,1,3,3,0,0,1,0,0,0,0,0,40
5,5,45.0,2,2,4,0,0,0,1,0,0,0,0,50
5,7,46.833333333333336,1,3,3,0,0,0,0,0,1,0,0,46
5,6,46.833333333333336,2,2,3,0,0,0,1,0,0,0,0,52
5,6,47.32142857142857,1,3,4,1,0,0,0,0,0,0,0,54
5,7,47.32142857142857,2,4,3,0,0,0,0,0,0,1,0,39
5,7,44.111111111111114,1,4,4,0,0,1,0,0,0,0,0,38
5,6,44.111111111111114,2,2,4,0,1,0,0,0,0,0,0,50
5,7,51.8,1,3,3,0,0,0,1,0,0,0,0,56
5,8,51.8,2,4,3,0,0,0,0,0,0,1,0,36
5,7,47.32142857142857,1,3,3,1,0,0,0,0,0,0,0,53
5,6,47.32142857142857,2,4,4,0,0,0,0,1,0,0,0,54
5,8,45.666666666666664,1,6,4,1,0,0,0,0,0,0,0,69
5,7,45.666666666666664,2,3,2,0,0,0,0,1,0,0,0,38
5,7,47.32142857142857,1,10,7,0,1,0,0,0,0,0,0,79
5,8,44.111111111111114,2,2,3,0,0,1,0,0,0,0,0,41
5,8,46.833333333333336,1,3,4,0,0,0,0,0,1,0,0,47
5,9,46.833333333333336,2,3,4,0,0,0,0,0,0,0,1,55
5,8,47.32142857142857,1,3,5,0,0,0,0,1,0,0,0,61
5,8,47.32142857142857,2,4,4,0,1,0,0,0,0,0,0,62
5,8,51.888888888888886,1,2,3,0,0,0,1,0,0,0,0,76
5,9,51.888888888888886,2,4,4,1,0,0,0,0,0,0,0,54
5,9,51.8,1,2,4,0,0,0,0,0,1,0,0,51
5,9,51.8,2,4,4,0,0,0,0,0,0,1,0,45
5,10,51.8,1,2,3,0,0,0,0,0,0,0,1,43
5,9,48.0,2,4,4,0,0,1,0,0,0,0,0,55
5,10,47.32142857142857,1,3,4,1,0,0,0,0,0,0,0,37
5,9,47.32142857142857,2,4,3,0,1,0,0,0,0,0,0,42
5,9,45.666666666666664,1,2,4,0,0,0,0,1,0,0,0,55
5,9,45.666666666666664,2,5,4,0,0,0,1,0,0,0,0,33
5,10,46.833333333333336,1,4,4,0,0,1,0,0,0,0,0,44
5,10,46.833333333333336,2,6,3,0,0,0,0,0,1,0,0,41
5,10,47.32142857142857,1,2,3,0,1,0,0,0,0,0,0,68
5,10,47.32142857142857,2,6,3,0,0,0,0,0,0,1,0,34
5,10,56.0,1,3,5,0,0,0,1,0,0,0,0,56
5,11,48.0,2,4,3,0,0,0,0,0,0,0,1,36
5,10,45.666666666666664,1,3,3,0,0,0,0,1,0,0,0,50
5,11,45.666666666666664,2,2,3,0,0,1,0,0,0,0,0,36
5,11,47.32142857142857,1,3,4,1,0,0,0,0,0,0,0,44
5,11,47.32142857142857,2,2,3,0,0,0,0,0,1,0,0,61
5,11,45.666666666666664,1,3,4,0,0,0,0,0,0,1,0,45
5,11,45.666666666666664,2,3,4,0,0,0,0,1,0,0,0,57
5,11,45.666666666666664,1,4,3,0,0,0,1,0,0,0,0,41
5,12,38.5,2,3,4,0,0,1,0,0,0,0,0,49
5,11,46.833333333333336,1,3,4,0,1,0,0,0,0,0,0,39
5,12,46.833333333333336,2,3,4,0,0,0,0,0,1,0,0,45
5,12,47.32142857142857,1,4,4,1,0,0,0,0,0,0,0,36
5,12,47.32142857142857,2,3,2,0,0,0,0,0,0,0,1,40
5,12,51.888888888888886,1,2,4,0,0,0,1,0,0,0,0,56
5,12,51.888888888888886,2,3,4,0,0,0,0,0,0,1,0,47
5,13,51.888888888888886,1,2,2,1,0,0,0,0,0,0,0,16
5,13,38.5,2,4,3,0,0,1,0,0,0,0,0,28
5,13,51.8,1,6,5,0,0,0,0,0,0,1,0,72
5,12,51.8,2,4,4,0,1,0,0,0,0,0,0,61
5,13,46.833333333333336,1,4,3,0,0,0,0,0,1,0,0,46
5,12,46.833333333333336,2,4,4,0,0,0,0,1,0,0,0,50
5,13,51.888888888888886,1,3,5,0,0,0,1,0,0,0,0,68
5,13,51.888888888888886,2,5,5,0,1,0,0,0,0,0,0,83
5,14,51.8,1,5,3,0,0,0,0,0,0,1,0,41
5,14,51.8,2,4,4,1,0,0,0,0,0,0,0,47
5,13,51.8,1,2,4,0,0,0,0,0,0,0,1,66
5,13,48.0,2,4,3,0,0,0,0,1,0,0,0,53
5,14,47.32142857142857,1,2,4,0,0,1,0,0,0,0,0,54
5,14,47.32142857142857,2,2,2,0,1,0,0,0,0,0,0,2
5,14,51.888888888888886,1,5,3,0,0,0,1,0,0,0,0,29
5,14,51.888888888888886,2,2,4,0,0,0,0,0,1,0,0,38
5,15,46.833333333333336,1,2,2,0,0,0,0,0,1,0,0,48
5,15,46.833333333333336,2,4,3,1,0,0,0,0,0,0,0,54
5,15,46.833333333333336,1,2,4,0,1,0,0,0,0,0,0,41
5,14,42.5,2,4,3,0,0,0,0,0,0,0,1,40
5,16,42.5,1,4,2,0,1,0,0,0,0,0,0,29
5,16,34.0,2,3,3,1,0,0,0,0,0,0,0,34
5,16,45.666666666666664,1,3,4,0,0,0,0,0,1,0,0,61
5,17,45.666666666666664,2,3,3,1,0,0,0,0,0,0,0,31
6,1,48.8,1,6,3,0,0,0,0,0,1,0,0,37
6,1,48.8,2,2,2,0,0,0,0,0,0,1,0,57
6,1,45.11764705882353,1,6,3,0,0,1,0,0,0,0,0,35
6,1,45.11764705882353,2,2,3,0,0,0,0,1,0,0,0,47
6,2,48.64705882352941,1,2,4,0,0,0,0,0,0,1,0,52
6,3,48.64705882352941,2,3,4,0,0,0,0,0,0,1,0,57
6,1,46.833333333333336,1,3,3,0,1,0,0,0,0,0,0,49
6,1,46.833333333333336,2,3,4,0,0,0,1,0,0,0,0,56
6,2,45.11764705882353,1,3,3,0,0,0,0,1,0,0,0,40
6,2,45.11764705882353,2,3,3,0,0,0,0,0,1,0,0,53
6,4,45.11764705882353,1,3,4,0,0,0,0,0,0,1,0,57
6,5,53.375,2,2,4,0,0,0,0,0,0,1,0,62
6,6,43.0,1,3,4,0,0,0,0,0,0,1,0,37
6,2,43.0,2,3,4,0,0,1,0,0,0,0,0,28
6,2,41.588235294117645,1,4,3,0,0,0,1,0,0,0,0,36
6,3,41.588235294117645,2,2,3,0,0,0,0,1,0,0,0,36
6,3,48.8,1,4,2,0,0,0,0,0,1,0,0,31
6,7,48.8,2,3,4,0,0,0,0,0,0,1,0,42
6,8,48.64705882352941,1,3,4,0,0,0,0,0,0,1,0,49
6,9,48.64705882352941,2,2,3,0,0,0,0,0,0,1,0,50
6,2,46.833333333333336,1,3,3,0,1,0,0,0,0,0,0,63
6,3,46.833333333333336,2,4,3,0,0,1,0,0,0,0,0,51
6,4,41.588235294117645,1,4,4,0,0,0,0,0,1,0,0,40
6,3,41.588235294117645,2,3,4,0,0,0,1,0,0,0,0,33
6,10,48.64705882352941,1,3,3,0,0,0,0,0,0,1,0,41
6,4,48.64705882352941,2,2,4,0,0,0,0,1,0,0,0,65
6,3,48.8,1,3,3,0,1,0,0,0,0,0,0,49
6,5,48.8,2,3,3,0,0,0,0,0,1,0,0,51
6,11,48.8,1,3,4,0,0,0,0,0,0,1,0,50
6,4,53.375,2,2,4,0,0,0,1,0,0,0,0,63
6,4,53.375,1,3,3,0,1,0,0,0,0,0,0,48
6,12,53.5,2,5,4,0,0,0,0,0,0,1,0,36
6,4,43.0,1,3,4,0,0,1,0,0,0,0,0,41
6,6,43.0,2,3,4,0,0,0,0,0,1,0,0,52
6,13,41.588235294117645,1,4,4,0,0,0,0,0,0,1,0,35
6,5,41.588235294117645,2,2,4,0,0,0,1,0,0,0,0,65
6,5,41.588235294117645,1,3,4,0,1,0,0,0,0,0,0,50
6,14,53.375,2,2,4,0,0,0,0,0,0,1,0,72
6,15,53.375,1,3,4,0,0,0,0,0,0,1,0,31
6,5,53.5,2,4,3,0,0,0,0,1,0,0,0,59
6,7,48.64705882352941,1,3,3,0,0,0,0,0,1,0,0,39
6,16,48.64705882352941,2,4,3,0,0,0,0,0,0,1,0,40
6,6,41.588235294117645,1,5,3,0,0,0,1,0,0,0,0,27
6,17,41.588235294117645,2,3,3,0,0,0,0,0,0,1,0,46
6,18,43.0,1,2,3,0,0,0,0,0,0,1,0,71
6,5,43.0,2,5,2,0,0,1,0,0,0,0,0,22
6,6,48.8,1,2,4,0,0,0,0,1,0,0,0,59
6,8,48.8,2,3,4,0,0,0,0,0,1,0,0,64
6,19,48.8,1,3,2,0,0,0,0,0,0,1,0,48
6,20,53.5,2,2,4,0,0,0,0,0,0,1,0,72
6,6,43.0,1,5,3,0,0,1,0,0,0,0,0,37
6,7,43.0,2,4,2,0,0,0,0,1,0,0,0,43
6,7,41.588235294117645,1,3,5,0,0,0,1,0,0,0,0,49
6,6,41.588235294117645,2,3,3,0,1,0,0,0,0,0,0,45
6,21,41.588235294117645,1,2,3,0,0,0,0,0,0,1,0,59
6,22,53.375,2,4,5,0,0,0,0,0,0,1,0,36
6,23,53.375,1,3,4,0,0,0,0,0,0,1,0,54
6,9,53.5,2,3,3,0,0,0,0,0,1,0,0,47
6,7,46.833333333333336,1,3,3,0,1,0,0,0,0,0,0,40
6,8,46.833333333333336,2,4,5,0,0,0,0,1,0,0,0,37
6,24,39.5,1,5,4,0,0,0,0,0,0,1,0,35
6,7,53.375,2,2,3,0,0,1,0,0,0,0,0,61
6,9,45.11764705882353,1,2,4,0,0,0,0,1,0,0,0,40
6,25,45.11764705882353,2,5,3,0,0,0,0,0,0,1,0,37
6,8,43.0,1,3,3,0,0,1,0,0,0,0,0,48
6,26,43.0,2,2,3,0,0,0,0,0,0,1,0,50
6,27,41.588235294117645,1,5,3,0,0,0,0,0,0,1,0,26
6,8,41.588235294117645,2,4,3,0,0,0,1,0,0,0,0,38
6,28,46.833333333333336,1,3,5,0,0,0,0,0,0,1,0,60
6,8,46.833333333333336,2,2,3,0,1,0,0,0,0,0,0,46
6,29,48.64705882352941,1,3,4,0,0,0,0,0,0,1,0,45
6,9,48.64705882352941,2,2,5,0,0,1,0,0,0,0,0,51
6,9,48.64705882352941,1,2,4,0,0,0,1,0,0,0,0,51
6,10,39.285714285714285,2,7,3,0,0,0,0,0,1,0,0,32
6,10,45.11764705882353,1,6,3,0,0,0,0,1,0,0,0,28
6,30,45.11764705882353,2,3,4,0,0,0,0,0,0,1,0,46
6,9,48.64705882352941,1,2,5,0,1,0,0,0,0,0,0,56
6,31,48.64705882352941,2,3,4,0,0,0,0,0,0,1,0,50
6,10,48.64705882352941,1,3,2,0,0,0,1,0,0,0,0,34
6,32,39.285714285714285,2,4,3,0,0,0,0,0,0,1,0,25
6,10,46.833333333333336,1,4,4,0,1,0,0,0,0,0,0,25
6,11,46.833333333333336,2,3,4,0,0,0,0,0,1,0,0,39
6,11,41.588235294117645,1,2,3,0,0,0,1,0,0,0,0,51
6,10,41.588235294117645,2,3,4,0,0,1,0,0,0,0,0,50
6,12,41.588235294117645,1,4,3,0,0,0,0,0,1,0,0,21
6,33,39.285714285714285,2,3,4,0,0,0,0,0,0,1,0,32
6,11,46.833333333333336,1,3,4,0,1,0,0,0,0,0,0,42
6,34,46.833333333333336,2,4,4,0,0,0,0,0,0,1,0,41
6,35,45.11764705882353,1,4,3,0,0,0,0,0,0,1,0,37
6,11,45.11764705882353,2,4,4,0,0,0,0,1,0,0,0,66
6,36,48.64705882352941,1,3,4,0,0,0,0,0,0,1,0,47
6,12,48.64705882352941,2,2,6,0,0,0,1,0,0,0,0,55
6,13,48.64705882352941,1,2,3,0,0,0,0,0,1,0,0,45
6,11,39.285714285714285,2,4,4,0,0,1,0,0,0,0,0,49
6,12,45.11764705882353,1,3,4,0,0,0,0,1,0,0,0,51
6,12,45.11764705882353,2,2,4,0,1,0,0,0,0,0,0,63
6,12,45.11764705882353,1,4,3,0,0,1,0,0,0,0,0,28
6,37,39.285714285714285,2,3,3,0,0,0,0,0,0,1,0,44
6,13,46.833333333333336,1,2,5,0,1,0,0,0,0,0,0,63
6,38,46.833333333333336,2,6,5,0,0,0,0,0,0,1,0,59
6,13,39.5,1,4,3,0,0,0,0,1,0,0,0,44
6,39,57.0,2,5,3,0,0,0,0,0,0,1,0,55
6,13,57.0,1,2,4,0,0,0,1,0,0,0,0,46
6,13,46.0,2,3,3,0,0,1,0,0,0,0,0,37
6,40,46.0,1,2,4,0,0,0,0,0,0,1,0,52
6,41,39.285714285714285,2,3,3,0,0,0,0,0,0,1,0,44
6,14,39.285714285714285,1,5,3,0,0,0,0,0,1,0,0,49
6,42,57.0,2,3,4,0,0,0,0,0,0,1,0,70
6,14,45.11764705882353,1,3,4,0,0,0,0,1,0,0,0,48
6,14,45.11764705882353,2,3,4,0,0,0,1,0,0,0,0,48
6,14,45.11764705882353,1,3,5,0,0,1,0,0,0,0,0,43
6,14,46.0,2,4,2,0,1,0,0,0,0,0,0,49
6,43,46.833333333333336,1,5,3,0,0,0,0,0,0,1,0,23
6,15,46.833333333333336,2,7,3,0,1,0,0,0,0,0,0,31
6,15,43.0,1,3,3,0,0,0,1,0,0,0,0,43
6,15,43.0,2,3,4,0,0,0,0,1,0,0,0,46
6,44,43.0,1,4,4,0,0,0,0,0,0,1,0,38
6,16,43.0,2,4,4,0,0,0,1,0,0,0,0,46
6,17,46.833333333333336,1,2,3,0,0,0,1,0,0,0,0,59
6,16,46.833333333333336,2,2,4,0,1,0,0,0,0,0,0,59
7,1,47.0,1,3,5,0,0,0,1,0,0,0,0,59
7,1,47.0,2,3,4,0,1,0,0,0,0,0,0,54
7,1,47.0,1,3,4,0,0,0,0,0,1,0,0,61
7,1,48.4,2,3,4,0,0,0,0,0,0,1,0,59
7,2,48.4,1,3,4,0,0,0,0,0,0,1,0,52
7,1,45.0,2,2,4,0,0,0,0,1,0,0,0,73
7,2,45.0,1,4,4,0,1,0,0,0,0,0,0,41
7,1,47.333333333333336,2,4,4,0,0,1,0,0,0,0,0,43
7,3,47.333333333333336,1,3,3,0,0,0,0,0,0,1,0,35
7,4,65.5,2,4,4,0,0,0,0,0,0,1,0,56
7,5,47.0,1,4,4,0,0,0,0,0,0,1,0,40
7,2,47.0,2,3,4,0,0,0,1,0,0,0,0,59
7,2,48.45,1,4,4,0,0,0,0,1,0,0,0,59
7,2,48.45,2,2,4,0,0,0,0,0,1,0,0,49
7,3,48.45,1,5,4,0,1,0,0,0,0,0,0,23
7,6,65.5,2,2,4,0,0,0,0,0,0,1,0,62
7,2,65.5,1,3,3,0,0,1,0,0,0,0,0,62
7,7,48.4,2,4,4,0,0,0,0,0,0,1,0,50
7,3,48.45,1,2,3,0,0,0,1,0,0,0,0,34
7,3,48.45,2,4,4,0,0,0,0,0,1,0,0,61
7,8,54.0,1,3,5,0,0,0,0,0,0,1,0,57
